Movie Name,Genre,Duration,Rating,Vote Counts
Trisha on the Rocks,Romance,2h 52m,5.2,3K
The Everything Pot,Romance,1h 30m,7.4,29
Do Aur Do Pyaar,Romance,2h 20m,6.4,12K
Dandelion,Romance,1h 53m,5.3,386
¿Vienes o Voy?,Romance,1h 34m,6.7,15
Shigatsu ni nareba kanojo wa,Romance,1h 48m,6.2,417
Sex Love Venice,Romance,1h 42m,4.4,308
Tillu Square,Romance,2h 17m,6.6,N/A
Addition,Romance,1h 31m,8.2,29
The Swedish Torpedo,Romance,2h,6.4,133
The Time of Fever,Romance,1h 41m,8.0,620
Alterlove,Romance,1h 30m,N/A,N/A
Viva La Vida,Romance,2h 10m,7.6,789
Beauty and the Billionaire: Bali,Romance,1h 31m,5.9,190
A Vintage Christmas,Romance,N/A,6.5,350
Verliefd op Bali,Romance,1h 53m,5.1,291
Boys on Film 24: Happy Endings,Romance,2h 54m,6.9,26
El Roomie,Romance,1h 39m,5.8,302
Umjolo: The Gone Girl,Romance,1h 32m,4.4,264
Siddharth Roy,Romance,2h 28m,6.4,N/A
Writing a Love Song,Romance,1h 25m,6.7,174
A European Christmas,Romance,1h 30m,4.7,184
Love at 39 Degrees,Romance,1h 55m,5.5,N/A
A Man's Promise,Romance,N/A,7.2,42
Mai,Romance,2h 11m,6.8,N/A
Kupu-Kupu Kertas,Romance,1h 53m,7.0,113
Perfect Match,Romance,1h 41m,6.6,333
First Taste,Romance,1h 37m,4.5,150
Every You Every Me,Romance,1h 48m,6.6,134
