Movie Name,Genre,Duration,Rating,Vote Counts
After the Thunderstorm,sci-fi,1h 25m,N/A,N/A
Sounds Like A Great Project!,sci-fi,1h 15m,N/A,N/A
Sathur,sci-fi,N/A,7.9,9
Cose nere,sci-fi,1h 23m,N/A,N/A
The Clearing,sci-fi,N/A,4.0,35
I Watched Her Grow,sci-fi,1h 7m,N/A,N/A
Inazuma Eleven the Movie: Prologue to the New Heroes,sci-fi,N/A,N/A,N/A
Trap,sci-fi,1h 58m,3.3,15
In Your Own Time,sci-fi,1h,N/A,N/A
The Codfather,sci-fi,1h 30m,N/A,N/A
Project Alexander,sci-fi,2h 5m,N/A,N/A
Code Geass: Rozé of the Recapture: Part 2,sci-fi,1h 16m,8.1,24
Astra,sci-fi,1h 20m,6.8,8
The 9th Raider,sci-fi,1h 45m,N/A,N/A
JEIT,sci-fi,1h 10m,N/A,N/A
Project 405: Lost at Sea,sci-fi,N/A,N/A,N/A
Gumshoe Jon and the Mystery of the Saucer Men - The Even Better Version,sci-fi,N/A,N/A,N/A
ARI,sci-fi,N/A,N/A,N/A
Secret Within the Sphere,sci-fi,1h 13m,7.8,19
Fake Out Fray,sci-fi,1h 6m,N/A,N/A
I 20,sci-fi,1h 54m,9.1,493
Four Singles,sci-fi,1h 3m,N/A,N/A
Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,sci-fi,50m,7.0,9
Kohinoor,sci-fi,1h 59m,8.1,22
Guacamole Yesterdays,sci-fi,N/A,8.6,14
Soul Traveler (The Feature),sci-fi,1h 36m,4.2,21
The Harvester,sci-fi,N/A,N/A,N/A
Madness Unplugged,sci-fi,17m,N/A,N/A
Interview with an Android,sci-fi,1h 20m,N/A,N/A
La Familia del Barrio: La Película,sci-fi,N/A,4.0,6
Reptilians: Serpent Kings and Ancient Rulers,sci-fi,3h 14m,N/A,N/A
They're Here,sci-fi,1h 14m,N/A,N/A
Fragment,sci-fi,N/A,N/A,N/A
Implanted,sci-fi,1h 22m,N/A,N/A
A Cápsula,sci-fi,1h 32m,6.4,5
Twenty,sci-fi,1h 5m,N/A,N/A
Best Cop Ever,sci-fi,2h 2m,4.3,49
404.01,sci-fi,1h 45m,404.0,N/A
Remat,sci-fi,N/A,N/A,N/A
A-Side: Suburban,sci-fi,45m,N/A,N/A
Stories for the Mind,sci-fi,49m,N/A,N/A
Insomniac,sci-fi,1h,N/A,N/A
A Divorce Story,sci-fi,1h 18m,N/A,N/A
Bharatiya Superheroes the Origin,sci-fi,N/A,8.9,62
Be Forever Yamato: Rebel 3199: Part 2: The Assault of the Burning Sun,sci-fi,1h 37m,N/A,N/A
The New Ark,sci-fi,N/A,N/A,N/A
Aliens Uncovered: The Land of Legends,sci-fi,N/A,8.9,9
Maddhim,sci-fi,N/A,9.3,23
Daughters of Monster Magnet,sci-fi,46m,N/A,N/A
Fragmentos de Olvido,sci-fi,1h 34m,N/A,N/A
Don't Say Earth,sci-fi,N/A,3.7,14
Aliens Uncovered: UFOs Over Arizona,sci-fi,1h 56m,8.4,16
A..C.A,sci-fi,52m,N/A,N/A
Kek 2,sci-fi,1h 38m,N/A,N/A
Someone Dies!,sci-fi,1h 26m,7.3,12
The Choice,sci-fi,40m,N/A,N/A
Owari ni Mita Machi,sci-fi,N/A,N/A,N/A
The Suit,sci-fi,1h 30m,N/A,N/A
Through the Graves the Wind Is Blowing,sci-fi,1h 20m,7.1,70
Alien Love: Deleted Scenes,sci-fi,7m,8.6,10
Alien Attack at Groom Lake,sci-fi,1h 11m,N/A,N/A
A Time Traveler 2492: Episode III,sci-fi,N/A,N/A,N/A
Big/Bad/Wolf,sci-fi,N/A,N/A,N/A
The Winter Prophecy,sci-fi,52m,7.9,13
High Strangeness,sci-fi,N/A,N/A,N/A
Mertsanie,sci-fi,1h 32m,5.8,17
Mars Has Eyes,sci-fi,1h 10m,N/A,N/A
Planetagatik,sci-fi,9h 39m,N/A,N/A
Venus DIE-Trap,sci-fi,N/A,N/A,N/A
Science Friction,sci-fi,1h 30m,N/A,N/A
He Has Gone Rogue - The Return of Cyrus,sci-fi,1h,8.8,32
Zombie Apocalypse News,sci-fi,1h 28m,N/A,N/A
Code Geass: Rozé of the Recapture: Part 3,sci-fi,1h 16m,7.7,22
The Zodian Gemini,sci-fi,N/A,N/A,N/A
Your Final Meditation,sci-fi,N/A,N/A,N/A
2015: Future Uncertain,sci-fi,1h 12m,6.9,17
The Truth on Sendai City,sci-fi,1h 13m,N/A,N/A
Bragow,sci-fi,2h,N/A,N/A
The Wrong Opp,sci-fi,N/A,N/A,N/A
True Dark,sci-fi,N/A,N/A,N/A
Squelch,sci-fi,1h 32m,N/A,N/A
The Last Man on the World,sci-fi,1h 10m,N/A,N/A
Tsena doveriya,sci-fi,1h 23m,5.8,27
Code Geass: Rozé of the Recapture: Part 4,sci-fi,1h 10m,7.0,12
95B,sci-fi,1h 42m,N/A,N/A
Isle: Alpha One,sci-fi,1h 37m,8.4,7
Sathur: Part1,sci-fi,N/A,N/A,N/A
El Salto,sci-fi,N/A,N/A,N/A
Tin: Parabiosis,sci-fi,1h 30m,N/A,N/A
Superman: Jubilation,sci-fi,2h 56m,N/A,N/A
They Sting,sci-fi,N/A,N/A,N/A
RiffTrax: Xtro 3: Watch the Skies,sci-fi,1h 24m,N/A,N/A
Kyle and the Last Emerald 2,sci-fi,15m,8.4,7
The Magic Denarious,sci-fi,N/A,N/A,N/A
Of Mummies and Martians,sci-fi,N/A,N/A,N/A
Astrosphere,sci-fi,N/A,N/A,N/A
Energy in the Rain,sci-fi,N/A,N/A,N/A
A Time Traveler 2492: Apocalypse,sci-fi,N/A,N/A,N/A
2053 - A Best Case Scenario,sci-fi,58m,N/A,N/A
Negative Worlds,sci-fi,1h 24m,N/A,N/A
I'm Unbreakable,sci-fi,43m,N/A,N/A
