Movie Name,Genre,Duration,Rating,Vote Counts
Black Storm,Action,1h 37m,6.6,65
Average Student Nani,Action,2h 18m,8.1,N/A
Star Abyss,Action,1h 26m,3.8,241
Azotes de Barrio 2,Action,N/A,9.9,8
Shark Island,Action,1h 21m,4.0,114
Next to Us,Action,2h 5m,4.9,220
The Undeserving,Action,N/A,5.5,18
Die Chaosschwestern und Pinguin Paul,Action,1h 40m,5.7,66
The Wild Blade of Strangers,Action,1h 42m,6.6,106
The Experts,Action,2h 1m,6.2,259
Jithender Reddy,Action,2h 16m,9.5,N/A
SCP: The Infinite Mission,Action,N/A,6.3,14
Breaking Tradition,Action,1h 27m,7.3,21
The Omicron Killer,Action,1h 38m,2.9,594
Saint Michael of the City,Action,N/A,8.0,31
Death Bitch,Action,1h 28m,N/A,N/A
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,Action,1h 11m,7.0,26
London Gangsters,Action,1h 44m,4.3,11
Brotherhood of Blades 3: The Embroidered Sword,Action,N/A,4.6,11
6 Hours Away,Action,1h 33m,3.9,240
Mongol,Action,2h 35m,8.7,89
South Side Hero,Action,1h 32m,5.6,35
Formed Police Unit,Action,2h,4.6,472
The Martial Avenger,Action,N/A,N/A,N/A
Game of Death - The six Doors to Hell,Action,N/A,N/A,N/A
Yakuza Girl,Action,1h 22m,2.3,65
Chaari 111,Action,2h 10m,4.8,255
Bond of Justice: Kizuna Part II - Judgement,Action,1h 28m,N/A,N/A
Sentinelese,Action,N/A,N/A,N/A
War of the Ninja Monsters: Jaron vs Goura,Action,55m,N/A,N/A
Surrender,Action,2h 29m,7.8,15
Warning 2,Action,2h 5m,7.1,879
Spider-Man: Final Swing,Action,2h 33m,N/A,N/A
The Drunken Prodigy,Action,1h 47m,5.6,13
The Wolfman,Action,N/A,N/A,N/A
Fuuto PI: Portrait of Kamen Rider Skull,Action,1h 22m,7.5,30
The Captives,Action,1h 13m,3.5,65
Mani nude,Action,N/A,6.7,18
Rathnam,Action,2h 35m,5.4,N/A
The Waiter,Action,N/A,8.0,20
Kamen Rider Gotchard: The Future Daybreak,Action,1h 3m,8.0,66
Inkabi,Action,1h 41m,4.7,78
Double Ismart,Action,2h 36m,2.9,N/A
Iron Fighter,Action,1h 20m,3.6,59
Meteor: Day One,Action,N/A,3.3,34
